"id","block_id","name","room_type","gender","floor_count","capacity"
1,"4S-A","Godavari Hall of Residency","4S","Male",3,76
2,"2S-A","Sabari Hall of Residency","2S","Male",3,100
3,"2S-B","Indravathi Hall of Residency","2S","Male",3,100
4,"2S-C","Pranahita Hall of Residency","2S","Male",3,100
5,"1S-A","Banganga Hall of Residency","1S","Male",3,100
6,"1S-B","Purna Hall of Residency","1S","Male",3,100
7,"1S-C","Manjeera Hall of Residency","1S","Male",3,100
8,"4S-FA","Krishnaveni Hall of Residency","4S","Female",3,50
9,"2S-FA","Bhima Hall of Residency","2S","Female",3,100
10,"2S-FB","Tungabhadra Hall of Residency","2S","Female",3,100
11,"1S-FA","Ghataprabha Hall of Residency","1S","Female",3,100
12,"1S-FB","Munneru Hall of Residency","1S","Female",3,100
13,"4S-B1","Vamsadhara-I Hall of Residency","4S","Male",3,69
14,"4S-B2","Vamsadhara-II Hall of Residency","4S","Male",2,46
15,"2S-D1","Nagavali-I Hall of Residency","2S","Male",4,140
16,"2S-D2","Nagavali-II Hall of Residency","2S","Male",1,35
17,"1S-D","Swarnamukhi Hall of Residency","1S","Male",5,175
